Species	Site	Tree	Fruit	Immature	Mature
Het1	S96	T34	F17	16	35
Het1	S96	T36	F8	25	32
Het1	S113	T4M	F4	16	34
Het1	S113	T4N	F21	19	38
Het1	S172	T2	F3	21	34
Het1	S172	T6	F7	37	34
Het1	S172	T30	F8	34	34
Het1	S172	T4M	F3	30	34
Het1	S70	T58	F2	27	32
Het1	S158	T29	F25	41	30
LO1	S70	T201	F7	0	72
LO1	S70	T56	F8	0	76
LO1	S96	T36	F4	0	77
LO1	S113	T1	F2	0	78
LO1	S113	T4M	F33	0	76
LO1	S172	T2	F23	0	72
LO1	S172	T4M	F21	0	79
LO1	S158	T6A	F5	0	76
LO1	S158	T29	F4	0	77
LO1	S96	T34	F13	0	75
Het2	S113	T4M	F4	0	51
Het2	S113	T4N	F29	0	55
Het2	S96	T36	F19	0	52
Het2	S96	T34	F36	0	54
Het2	S70	T58	F22	0	55
Het2	S70	T201	F5	0	54
Het2	S172	T2	F13	0	56
Het2	S172	T30	F15	0	53
Het2	S172	T6	F5	0	54
Het2	S113	T4M	F34	0	54
SO2	S70	T38	F11	0	44
SO2	S70	T201	F8	0	44
SO2	S158	T29	F12	0	46
SO2	S158	T6A	F43	0	36
SO2	S172	T6	F3	0	51
SO2	S172	T2	F9	0	50
SO2	S113	T4M	F9	0	36
SO2	S113	T4N	F26	0	56
SO2	S96	T34	F28	0	58
SO2	S96	T36	F15	0	45
SO2	S70	T8	F7	0	49
SO2	S70	T58	F10	0	39
SO2	S172	T4	F22	0	54
SO2	S172	T30	F16	0	52
SO1	S70	T56	F2	0	50
SO1	S70	T38	F14	0	47
SO1	S96	T36	F5	0	48
SO1	S96	T34	F6	0	54
SO1	S113	T1	F4	0	54
SO1	S113	T4N	F17	0	46
SO1	S172	T4	F9	0	50
SO1	S172	T2	F6	0	50
SO1	S158	T6A	F14	0	52
SO1	S158	T29	F34	0	51
